relative_path,filename,extension,mime_type,size_bytes,size_mb,sha256
assets/images/attention/incorrect/incorrect_index_9910_actual_deer_predicted_horse.png,incorrect_index_9910_actual_deer_predicted_horse.png,.png,image/png,299040,0.285186767578125,ad035b91c476416f9bd9cadb642e7cec4304cc1078a14f28fbd324f134417be5
assets/images/charts/class_distribution.png,class_distribution.png,.png,image/png,76556,0.07300949096679688,8f6e9d1e34783dbd7ec1466f915f7b8dd49dda2caa3b846ed229ebbbc917692e
assets/images/charts/onnx_parity_logit_difference.png,onnx_parity_logit_difference.png,.png,image/png,56898,0.05426216125488281,aa75505b6053a6c7c1fc563b833c0c7f1327f8596adab820dd123dbf3a747115
assets/images/charts/onnx_quantization_latency_comparison.png,onnx_quantization_latency_comparison.png,.png,image/png,68776,0.06558990478515625,f85079f49af829474135ec1f45d0d52363d90dd007efe1bbcfdf93901dabcfa4
assets/images/charts/onnx_quantization_metrics_comparison.png,onnx_quantization_metrics_comparison.png,.png,image/png,53757,0.05126667022705078,dd89fb329fabd2750137e9d7c467dc3ed5115ac63a684efc17cb47602c053fcc
assets/images/charts/onnx_quantization_size_comparison.png,onnx_quantization_size_comparison.png,.png,image/png,39085,0.03727436065673828,d684a39cd7b13ffee9639081951ee86878f19f1ad2d6cec3a0d8b3d372cf550f
assets/images/charts/parameter_count_comparison.png,parameter_count_comparison.png,.png,image/png,50119,0.047797203063964844,d55cfdf8903a0ff0fe7883de6a07f5fdbc3348fe98bd075cc925c270f24e0ff7
assets/images/charts/resnet_confusion_matrix.png,resnet_confusion_matrix.png,.png,image/png,124697,0.11892032623291016,dd3c9e173d8209a891fe505313812c199a32cf05e3c365737529e77f281731d0
assets/images/charts/resnet_confusion_matrix_normalized.png,resnet_confusion_matrix_normalized.png,.png,image/png,130739,0.12468242645263672,268da3455f5d8bc0b88d904fb7a9765f26d280ffe6536f82232c0f69ccefc46e
assets/images/charts/resnet_training_loss_curve.png,resnet_training_loss_curve.png,.png,image/png,80048,0.0763397216796875,abe85c576e360b41eb577c79f6db701fa7b6af39bf434c06abd89c62dde9921d
assets/images/charts/resnet_training_metrics_curve.png,resnet_training_metrics_curve.png,.png,image/png,89327,0.0851888656616211,b599490895bbd7a320ff1753261e30e854e17c9e5bfe7f44154a40faeab5d82e
assets/images/charts/sample_input_images.png,sample_input_images.png,.png,image/png,1866357,1.7798967361450195,894d5ad7e79157b3778835e694826b279e7d9b1de17174bc78b01337f301d065
assets/images/charts/vit_confusion_matrix.png,vit_confusion_matrix.png,.png,image/png,124499,0.11873149871826172,77d92ba56fbecd6d06c90716158f0e0e2b5d866106df1ab99ed89950064ee957
assets/images/charts/vit_confusion_matrix_normalized.png,vit_confusion_matrix_normalized.png,.png,image/png,130605,0.12455463409423828,f2d2419d1548b167d00d27bc5b099a3b5b15d45f49357cf7712c9d2dde6abdad
assets/images/charts/vit_training_loss_curve.png,vit_training_loss_curve.png,.png,image/png,76055,0.07253170013427734,09c7494a3bb2bc0a8a46951bd11150a404693c62edf78d0c9441a9514878a8cb
assets/images/charts/vit_training_metrics_curve.png,vit_training_metrics_curve.png,.png,image/png,87671,0.08360958099365234,1fcdb8b3ab5b3b60701d479f44696d87710e2f361493bdbf15391c25937c42d8
assets/images/charts/vit_vs_cnn_comparison.png,vit_vs_cnn_comparison.png,.png,image/png,57170,0.05452156066894531,8612f6d48e06484a7796ce65bf101c4c33e96c186418372f3ce1ac760565d914
assets/images/charts/vit_vs_cnn_latency_comparison.png,vit_vs_cnn_latency_comparison.png,.png,image/png,61680,0.0588226318359375,335534b21a2443e961d8da936fe2ef3f023d465160481faf03c7a4cb0768d818
assets/images/charts/vit_vs_cnn_latency_distribution.png,vit_vs_cnn_latency_distribution.png,.png,image/png,66724,0.06363296508789062,8ddf22b1598ef49ddc4a67020362132b7228f6fd66f8c2b33d7633541f990d87
assets/models/browser_model_config.json,browser_model_config.json,.json,application/json,1358,0.0012950897216796875,6efc80e54e758f0cd7cc86568839bda59185d7465eaa052764020b9a0e22c38d
assets/models/browser_model_selection.json,browser_model_selection.json,.json,application/json,1607,0.0015325546264648438,3b718e8eb1446b74b9e7fe28255a72e4429bb4be6c851140c3740e9b62eb9a43
assets/models/class_names.json,class_names.json,.json,application/json,173,0.00016498565673828125,f8e1bef21e50b82aa6659b683b52cd4355a63647382c84cedf68f48c20c4e0b2
assets/models/config.json,config.json,.json,application/json,1033,0.0009851455688476562,332d6a2b72e0cbcf66fa0cdc5d917f4ebb93f77f9f106e592b2c5d3509fadb23
assets/models/labels.json,labels.json,.json,application/json,123,0.00011730194091796875,32325c0b676b80df6dd58c449beebecf4a85d061db2f3529e1c68f3c58e95aa3
assets/models/model_browser.onnx,model_browser.onnx,.onnx,application/octet-stream,24448700,23.316097259521484,de9f83e4ac94c2c66f8a06f11dcc96f6b099059117f1b505bd576112a96a0ef2
assets/models/onnx_model_metadata.json,onnx_model_metadata.json,.json,application/json,1397,0.0013322830200195312,af6b9fbeba311505864460d2960057a9009bd406c7491bf6b8aa26f5f57a7c27
assets/models/preprocessor_config.json,preprocessor_config.json,.json,application/json,347,0.00033092498779296875,439af8297dfeaec6291666c66420f3616206713593f28921e394922915c2c851
